,maml_error
0,0.0625
1,0.0
2,0.0
3,0.0
4,0.06329113
5,5.9604645e-08
6,0.0
7,0.012658179
8,0.0
9,0.0
10,0.4814815
11,0.0
12,0.0
13,0.5952381
14,0.0
15,0.0
16,0.012987018
17,0.12658226
18,0.025974035
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.025974035
25,0.05194807
26,0.01219517
27,0.0
28,0.024999976
29,0.0
30,0.03658539
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.077922106
37,5.9604645e-08
38,0.48101264
39,0.0
40,0.077922106
41,0.0
42,0.0
43,0.12658226
44,0.0
45,0.025641024
46,0.05128205
47,0.0
48,0.0
49,0.17283952
50,0.0
51,0.0
52,0.0
53,0.0
54,0.012820482
55,0.0
56,0.6666666
57,0.050632894
58,0.36363637
59,0.0
60,0.0
61,0.0
62,0.025974035
63,0.24050629
64,0.05128205
65,0.556962
66,0.0
67,0.0
68,5.9604645e-08
69,0.038461506
70,0.10526317
71,0.0
72,0.0
73,0.0
74,0.11392403
75,0.038961053
76,0.3974359
77,0.10389608
78,0.0
79,0.0
80,0.0
81,0.45569617
82,0.0
83,0.0
84,0.56410253
85,0.0
86,0.0
87,0.25641024
88,0.0
89,0.06097567
90,0.0
91,0.038961053
92,5.9604645e-08
93,0.012820482
94,0.06172836
95,0.0
96,0.0
97,0.0
98,0.087499976
99,0.0
100,0.38666666
101,0.08108103
102,0.013513505
103,0.2368421
104,0.03999996
105,0.3972603
106,0.013157904
107,0.08108103
108,0.125
109,0.0
110,0.0
111,0.0
112,0.0
113,0.525641
114,0.026315808
115,0.012987018
116,0.68
117,0.0
118,0.0
119,0.2987013
120,0.67105263
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.13157892
127,0.0
128,0.15584415
129,0.0
130,0.22077924
131,0.0
132,0.039473653
133,0.10526317
134,0.1891892
135,0.013333321
136,0.039473653
137,0.05479455
138,0.0
139,0.0
140,0.0
141,0.0
142,0.06410253
143,0.25333333
144,0.0
145,0.0
146,0.013157904
147,0.0
148,0.7662338
149,0.120000005
150,0.6447368
151,0.012658179
152,0.0
153,0.23376626
154,0.0
155,0.040540516
156,0.0
157,0.013333321
158,0.038961053
159,0.1891892
160,0.15789473
161,0.0
162,0.039473653
163,0.013157904
164,0.0
165,0.053333282
166,0.0
167,0.0
168,0.36842108
169,0.025316417
170,0.0
171,0.0
172,0.0
173,0.013513505
174,0.14473683
175,0.0
176,0.0
177,0.0
178,0.1168831
179,0.08860755
180,0.0
181,0.6282051
182,0.077922106
183,0.013333321
184,0.34177214
185,0.013333321
186,0.0
187,0.0
188,0.15584415
189,0.012987018
190,0.0
191,0.06666666
192,0.57142854
193,0.3896104
194,0.15068495
195,0.0
196,0.0
197,0.052631557
198,0.30263156
199,0.2631579
200,0.07594937
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.23076922
207,0.0
208,0.3291139
209,0.0
210,0.050000012
211,0.123456776
212,0.0
213,0.0
214,0.07499999
215,0.036144614
216,0.11538458
217,0.2168675
218,0.0
219,0.012345672
220,5.9604645e-08
221,0.53846157
222,0.0
223,0.0
224,0.7662338
225,5.9604645e-08
226,0.0
227,0.07407409
228,0.14999998
229,0.0
230,0.0
231,0.6585366
232,0.0
233,0.025974035
234,0.2560976
235,0.02439028
236,0.0
237,0.06172836
238,0.0
239,0.0
240,0.0
241,0.024691343
242,0.0
243,0.55128205
244,0.0
245,0.0
246,5.9604645e-08
247,0.02439028
248,0.13414639
249,0.0
250,0.32926834
251,5.9604645e-08
252,5.9604645e-08
253,0.012820482
254,0.025316417
255,0.0
256,0.0
257,0.2625
258,0.24050629
259,0.1392405
260,0.0
261,5.9604645e-08
262,0.5125
263,0.0
264,0.012499988
265,0.24050629
266,0.25641024
267,0.56962025
268,0.0
269,0.36708862
270,0.0
271,0.025641024
272,0.0
273,0.1875
274,0.0
275,0.0
276,5.9604645e-08
277,0.0
278,0.0
279,0.123456776
280,0.24691355
281,0.0
282,0.05952382
283,0.0
284,0.3625
285,0.0
286,0.4177215
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.07499999
293,0.345679
294,0.1025641
295,0.0
296,0.0
297,0.30379742
298,0.6625
299,5.9604645e-08
300,0.0
301,0.0
302,0.0
303,0.14666665
304,0.0
305,0.17333329
306,0.15789473
307,0.0
308,0.0
309,0.5774648
310,0.63013697
311,0.0
312,0.0
313,0.013513505
314,0.30666667
315,0.039473653
316,0.0
317,0.5135135
318,0.012987018
319,0.0
320,0.27397263
321,0.0
322,0.0
323,0.014084518
324,0.0
325,0.3611111
326,0.041095912
327,0.24324322
328,0.35135132
329,0.0
330,0.0
331,0.0
332,0.13513511
333,0.0
334,0.15789473
335,0.0
336,0.026315808
337,0.53424656
338,0.39473683
339,0.0
340,0.22666663
341,0.0
342,0.012987018
343,0.0
344,0.50666666
345,0.026666641
346,0.65753424
347,0.4133333
348,0.0
349,0.3243243
350,0.0
351,0.13698632
352,0.06756753
353,0.027397275
354,0.5466666
355,0.17567563
356,0.0
357,0.013333321
358,0.0
359,0.0
360,0.0
361,0.4864865
362,0.0
363,0.67105263
364,0.027777791
365,0.0
366,0.1917808
367,0.0
368,0.0
369,0.0
370,0.13513511
371,0.0
372,0.39999998
373,0.0
374,0.0
375,0.14084506
376,0.0
377,0.0
378,0.75342464
379,0.0
380,0.0
381,0.56
382,0.0
383,0.75342464
384,0.0
385,0.2361111
386,0.0
387,0.36842108
388,0.0
389,0.013513505
390,0.0
391,0.0
392,0.0945946
393,0.8051948
394,0.0
395,0.0
396,0.0
397,0.16666663
398,0.013333321
399,0.0
400,0.18421054
401,0.02702701
402,0.14666665
403,0.26923078
404,0.038961053
405,0.0
406,0.06578946
407,0.0
