,lin_error
0,1.5065743
1,1.8734484
2,2.6048236
3,2.4649444
4,2.7671103
5,3.4613426
6,4.3505945
7,1.3675606
8,3.3617883
9,3.9060779
10,2.1926134
11,2.15048
12,2.1943274
13,2.53802
14,1.3630339
15,2.6303673
16,1.8481641
17,2.0099428
18,1.9355184
19,2.2079463
20,2.6330457
21,1.8124657
22,3.3364317
23,3.3451777
24,2.8590484
25,2.209459
26,6.02271
27,2.6265116
28,2.3794487
29,2.0857854
30,1.8972167
31,1.6709223
32,1.7781326
33,3.3323126
34,2.1256685
35,2.6406972
36,1.8196592
37,2.1367934
38,2.9562783
39,4.388467
40,1.958689
41,2.1487153
42,3.0114005
43,1.4641598
44,2.5967321
45,2.1375487
46,2.6515772
47,1.752002
48,2.6408567
49,2.805642
50,1.5302157
51,3.011823
52,3.8269198
53,2.206483
54,2.3426576
55,5.7918625
56,2.0714402
57,1.3201517
58,3.0334692
59,1.546529
60,4.1660967
61,2.5981717
62,4.1119866
63,2.7390556
64,2.8887978
65,2.2974963
66,1.9107342
67,3.359048
68,3.123453
69,3.5586991
70,1.8530314
71,4.1748586
72,2.2718005
73,2.6598365
74,3.0857904
75,3.8958044
76,1.2473742
77,1.8625296
78,2.7545187
79,3.1379418
80,1.7691135
81,2.6160963
82,3.6559577
83,4.536822
84,3.9386978
85,3.1586897
86,2.1518767
87,5.9183702
88,1.4665426
89,2.5783436
90,5.9041286
91,1.3714979
92,2.5152574
93,2.5920117
94,1.0540857
95,3.2218633
96,2.8274374
97,2.703819
98,4.720141
99,1.7604018
100,1.3184807
101,2.0914834
102,2.2538593
103,1.3126006
104,2.9683163
105,1.1050414
106,2.3868408
107,2.7968886
108,3.266223
109,2.0583594
110,3.0617871
111,1.6041274
112,2.9733088
113,1.4901464
114,1.804061
115,2.6141863
116,1.7600992
117,1.693353
118,2.0842853
119,2.3260987
120,1.8323714
121,1.3677263
122,1.7229
123,1.522232
124,1.7903898
125,2.4902735
126,3.1375804
127,2.6988556
128,1.4890989
129,1.4218222
130,3.4290829
131,2.186003
132,0.88449347
133,2.710243
134,2.1932504
135,3.1759307
136,1.9008956
137,0.8372219
138,2.034443
139,3.2966733
140,2.6956778
141,1.5459818
142,2.8786743
143,2.2901413
144,1.1324999
145,1.6119395
146,3.356971
147,1.5583234
148,3.2480097
149,2.0145943
150,2.7797987
151,1.0193385
152,1.4430059
153,1.8322835
154,4.110315
155,2.132837
156,1.9783098
157,2.3427489
158,2.5754826
159,1.7982044
160,2.5420115
161,1.4183651
162,1.9424034
163,3.3071733
164,2.6522582
165,1.5739925
166,2.6605816
167,1.1350416
168,1.092701
169,1.3770894
170,1.9320341
171,4.7019506
172,1.2279629
173,1.2007307
174,1.9995953
175,4.2477922
176,0.87025946
177,2.697892
178,1.5213208
179,3.1463537
180,2.5458188
181,2.2003732
182,2.5997708
183,2.0153887
184,2.5690296
185,2.6002364
186,1.8737006
187,2.6406236
188,2.045089
189,3.0163677
190,3.5024345
191,2.3038387
192,3.080667
193,1.1432127
194,1.9783002
195,2.118949
196,4.194761
197,1.9385569
198,1.7455044
199,4.033404
200,3.023786
201,1.5668999
202,3.0362544
203,2.2727027
204,5.1054664
205,2.0658317
206,1.9309789
207,1.0985795
208,1.1693145
209,1.5868567
210,1.7143232
211,3.3839965
212,1.0808845
213,1.19664
214,0.7818225
215,2.3153675
216,1.2242805
217,3.9373527
218,1.0796442
219,1.9049962
220,2.959403
221,1.8843557
222,2.9260392
223,1.8301688
224,2.1403422
225,1.9878865
226,1.8898115
227,1.7311252
228,1.330236
229,3.2377808
230,2.8984187
231,1.4855412
232,4.985902
233,1.448501
234,2.4623969
235,2.5904784
236,1.7507117
237,1.9672611
238,4.4238877
239,3.0736158
240,1.6860847
241,1.2289947
242,1.3054731
243,2.464945
244,1.6296897
245,2.0407252
246,1.5112239
247,2.9896545
248,1.1451871
249,1.4256804
250,1.928938
251,1.2343429
252,1.8386478
253,2.3673246
254,1.2166415
255,1.3052183
256,2.2072122
257,2.1162202
258,1.2671785
259,1.9982327
260,3.1570787
261,1.7337662
262,1.3120359
263,0.7044024
264,2.1591387
265,2.9142256
266,1.1713688
267,1.8146814
268,2.1627202
269,1.4948462
270,2.8701425
271,2.5491993
272,1.504763
273,2.7322958
274,3.2372642
275,2.25172
276,1.2176017
277,1.7613581
278,2.3090842
279,2.7841485
280,1.2029116
281,2.1862042
282,3.1699617
283,2.1257818
284,2.003833
285,1.8025686
286,2.0757735
287,2.1498523
288,1.7765149
289,2.4513881
290,2.7201154
291,1.6465882
292,3.0230021
293,1.0285898
294,1.5576816
295,0.8199645
296,1.5584345
297,1.4825708
298,1.7111087
299,1.5524652
300,2.526956
301,4.388631
302,2.3797581
303,4.799999
304,3.7061477
305,4.8327603
306,3.2404764
307,2.0169382
308,5.458665
309,2.373949
310,3.7305784
311,2.5463018
312,2.581503
313,3.73593
314,3.692011
315,4.967518
316,3.2469077
317,5.536665
318,2.9293733
319,2.440947
320,2.586647
321,2.6364522
322,3.303914
323,2.4425538
324,3.1992128
325,2.7281528
326,3.4239569
327,1.1868709
328,3.3019366
329,3.431865
330,2.2873769
331,3.5890496
332,4.553148
333,2.0681322
334,5.416663
335,3.3976326
336,2.8315322
337,3.8980947
338,6.9201155
339,4.234342
340,4.8317733
341,3.7965279
342,4.1835904
343,1.493193
344,4.0864964
345,3.6534853
346,2.4436138
347,4.0979624
348,1.8697718
349,2.3897343
