,maml_error
0,1.9867767
1,2.89484
2,2.3346336
3,2.3323243
4,2.3916998
5,2.8649445
6,3.6018884
7,1.4654007
8,2.8417225
9,3.445847
10,2.0208158
11,1.6848793
12,5.509855
13,1.5747765
14,1.7951133
15,2.4707944
16,1.7914668
17,2.3053513
18,1.4274335
19,1.4437231
20,3.0526497
21,1.9065522
22,3.3092744
23,2.74273
24,2.5680087
25,1.75585
26,4.409207
27,2.3905594
28,1.9282717
29,1.4135547
30,1.8948737
31,1.7032996
32,1.8869803
33,2.9223578
34,1.7678945
35,2.3894436
36,2.2461886
37,1.8568071
38,1.8334106
39,4.1758075
40,1.6626775
41,2.1043708
42,3.182484
43,1.645473
44,2.8356087
45,2.1385684
46,2.468785
47,1.5063666
48,1.676518
49,2.6844344
50,1.4460293
51,3.163421
52,4.0284576
53,2.2131212
54,1.6445049
55,3.782427
56,1.9376539
57,1.1760709
58,2.9143913
59,1.889236
60,3.4640229
61,2.133978
62,3.1790612
63,2.3605382
64,2.7273345
65,3.0088263
66,1.2990946
67,3.5939763
68,3.2242103
69,3.0405736
70,2.7549834
71,3.1402204
72,2.5033324
73,2.35975
74,3.133021
75,2.7067676
76,0.9717698
77,1.8513579
78,2.4181113
79,3.0726619
80,1.6403311
81,2.2458513
82,2.222337
83,5.0281672
84,3.6190493
85,3.5366514
86,2.7281394
87,4.224261
88,1.3037658
89,2.7007275
90,4.7995596
91,1.4501256
92,1.5353029
93,2.0197945
94,1.2140068
95,3.1779745
96,4.386271
97,2.5813887
98,3.359352
99,2.3210793
100,1.6169866
101,1.6006393
102,2.8762808
103,1.255358
104,3.054843
105,1.2710842
106,4.2359614
107,2.6367695
108,2.0175097
109,2.0057027
110,1.685661
111,2.0656538
112,2.7493403
113,1.5721891
114,1.7762231
115,1.9256696
116,1.97205
117,1.5412835
118,2.2936122
119,2.2253118
120,2.0382965
121,2.1853802
122,1.5337139
123,1.7339619
124,1.306707
125,2.441405
126,2.9753554
127,3.1431267
128,1.719013
129,1.3748014
130,3.2536523
131,2.1200445
132,1.4718995
133,2.986581
134,2.4802797
135,3.9029498
136,1.1758538
137,1.150079
138,1.2399731
139,1.9004382
140,1.887096
141,2.2727275
142,2.8973384
143,1.9329273
144,1.71816
145,1.6257633
146,2.2572577
147,2.0460782
148,2.5546384
149,1.5677383
150,2.8355827
151,1.4809048
152,1.5631002
153,1.9199486
154,2.7145436
155,1.8847736
156,1.6592312
157,2.3812315
158,2.4612403
159,1.7223961
160,2.5782557
161,1.5783974
162,1.618043
163,3.3358455
164,3.8146932
165,1.638622
166,2.5262077
167,1.5204176
168,0.9858437
169,0.95474714
170,1.4444643
171,3.1388085
172,1.7625115
173,1.2145014
174,1.8544536
175,4.8759155
176,1.8010038
