ID,eth
HG00315,FIN
HG00327,FIN
HG00334,FIN
HG00339,FIN
HG00341,FIN
HG00346,FIN
HG00353,FIN
HG00358,FIN
HG00360,FIN
HG00365,FIN
HG00372,FIN
HG00377,FIN
HG00384,FIN
HG00404,CHS
HG00409,CHS
HG00106,GBR
HG00113,GBR
HG00118,GBR
HG00120,GBR
HG00125,GBR
HG00132,GBR
HG00137,GBR
HG00144,GBR
HG00149,GBR
HG00151,GBR
HG00156,GBR
HG00182,FIN
HG00187,FIN
HG00233,GBR
HG00238,GBR
HG00240,GBR
HG00245,GBR
HG00252,GBR
HG00257,GBR
HG00264,GBR
HG00269,FIN
HG00271,FIN
HG00276,FIN
HG00288,FIN
HG00290,FIN
HG00303,FIN
HG00308,FIN
HG00310,FIN
HG00097,GBR
HG00098,GBR
HG00100,GBR
HG00101,GBR
HG00105,GBR
HG00112,GBR
HG00428,CHS
HG00117,GBR
HG00442,CHS
HG00124,GBR
HG00129,GBR
HG00131,GBR
HG00473,CHS
HG00136,GBR
HG00478,CHS
HG00143,GBR
HG00148,GBR
HG00500,CHS
HG00150,GBR
HG00512,CHS
HG00155,GBR
HG00524,CHS
HG00174,FIN
HG00531,CHS
HG00179,FIN
HG00536,CHS
HG00181,FIN
HG00733,PUR
HG00186,FIN
HG00232,GBR
HG00740,PUR
HG00237,GBR
HG00978,CDX
HG00244,GBR
HG00319,FIN
HG01197,PUR
HG00321,FIN
HG01200,PUR
HG00326,FIN
HG01205,PUR
HG00338,FIN
HG00345,FIN
HG01248,PUR
HG00357,FIN
HG01250,CLM
HG00364,FIN
HG00369,FIN
HG01274,CLM
HG00371,FIN
HG00376,FIN
HG00620,CHS
HG00383,FIN
HG00625,CHS
HG00403,CHS
HG00632,CHS
HG00637,PUR
HG00410,CHS
HG00651,CHS
HG00422,CHS
HG00656,CHS
HG00542,CHS
HG00663,CHS
HG00554,PUR
HG00543,CHS
HG00559,CHS
HG00566,CHS
HG00578,CHS
HG00581,CHS
HG00580,CHS
HG00593,CHS
HG00598,CHS
HG00592,CHS
HG00613,CHS
HG01077,PUR
HG00427,CHS
HG01089,PUR
HG00446,CHS
HG01104,PUR
HG00458,CHS
HG01111,PUR
HG00472,CHS
HG00675,CHS
HG00530,CHS
HG00699,CHS
HG00732,PUR
HG00702,CHS
HG00737,PUR
HG00707,CHS
HG00864,CDX
HG01130,CLM
HG00249,GBR
HG00251,GBR
HG01142,CLM
HG00256,GBR
HG01161,PUR
HG00263,GBR
HG01173,PUR
HG00268,FIN
HG00270,FIN
HG01046,CDX
HG00275,FIN
HG00282,FIN
HG01058,PUR
HG00302,FIN
HG01060,PUR
HG01072,PUR
HG01483,CLM
HG00629,CHS
HG01488,CLM
HG00631,CHS
HG01495,CLM
HG00650,CHS
HG01503,IBS
HG00662,CHS
HG01565,PEL
HG00674,CHS
HG01572,PEL
HG00693,CHS
HG01577,PEL
HG00698,CHS
HG01589,PJL
HG00701,CHS
HG01596,KHV
HG01351,CLM
HG01052,PUR
HG01356,CLM
HG01064,PUR
HG01363,CLM
HG01069,PUR
HG01375,CLM
HG01191,PUR
HG01402,PUR
HG01204,PUR
HG01414,PUR
HG01242,PUR
HG01247,PUR
HG01438,CLM
HG01254,CLM
HG01440,CLM
HG01259,CLM
HG01281,CLM
HG01286,PUR
HG01278,CLM
HG01325,PUR
HG01280,CLM
HG01344,CLM
HG01083,PUR
