,ID,eth
0,HG00315,FIN
1,HG00327,FIN
2,HG00334,FIN
3,HG00339,FIN
4,HG00341,FIN
5,HG00346,FIN
6,HG00353,FIN
7,HG00358,FIN
8,HG00360,FIN
9,HG00365,FIN
10,HG00372,FIN
11,HG00377,FIN
12,HG00384,FIN
13,HG00404,CHS
14,HG00409,CHS
15,HG00106,GBR
16,HG00113,GBR
17,HG00118,GBR
18,HG00120,GBR
19,HG00125,GBR
20,HG00132,GBR
21,HG00137,GBR
23,HG00149,GBR
24,HG00151,GBR
25,HG00156,GBR
26,HG00182,FIN
27,HG00187,FIN
28,HG00233,GBR
29,HG00238,GBR
30,HG00240,GBR
31,HG00245,GBR
32,HG00252,GBR
33,HG00257,GBR
34,HG00264,GBR
35,HG00269,FIN
36,HG00271,FIN
37,HG00276,FIN
38,HG00288,FIN
39,HG00290,FIN
40,HG00303,FIN
41,HG00308,FIN
42,HG00310,FIN
43,HG00097,GBR
45,HG00100,GBR
46,HG00101,GBR
47,HG00105,GBR
48,HG00112,GBR
49,HG00428,CHS
50,HG00117,GBR
51,HG00442,CHS
53,HG00129,GBR
54,HG00131,GBR
55,HG00473,CHS
56,HG00136,GBR
57,HG00478,CHS
58,HG00143,GBR
59,HG00148,GBR
60,HG00500,CHS
61,HG00150,GBR
63,HG00155,GBR
64,HG00524,CHS
65,HG00174,FIN
66,HG00531,CHS
67,HG00179,FIN
68,HG00536,CHS
69,HG00181,FIN
71,HG00186,FIN
72,HG00232,GBR
73,HG00740,PUR
74,HG00237,GBR
75,HG00978,CDX
76,HG00244,GBR
77,HG00319,FIN
78,HG01197,PUR
79,HG00321,FIN
80,HG01200,PUR
81,HG00326,FIN
82,HG01205,PUR
83,HG00338,FIN
84,HG00345,FIN
85,HG01248,PUR
86,HG00357,FIN
87,HG01250,CLM
88,HG00364,FIN
89,HG00369,FIN
91,HG00371,FIN
92,HG00376,FIN
93,HG00620,CHS
94,HG00383,FIN
95,HG00625,CHS
96,HG00403,CHS
97,HG00632,CHS
98,HG00637,PUR
99,HG00410,CHS
100,HG00651,CHS
101,HG00422,CHS
102,HG00656,CHS
103,HG00542,CHS
104,HG00663,CHS
105,HG00554,PUR
106,HG00543,CHS
107,HG00559,CHS
108,HG00566,CHS
110,HG00581,CHS
111,HG00580,CHS
112,HG00593,CHS
113,HG00598,CHS
114,HG00592,CHS
115,HG00613,CHS
116,HG01077,PUR
118,HG01089,PUR
119,HG00446,CHS
120,HG01104,PUR
121,HG00458,CHS
122,HG01111,PUR
123,HG00472,CHS
124,HG00675,CHS
125,HG00530,CHS
126,HG00699,CHS
127,HG00732,PUR
129,HG00737,PUR
130,HG00707,CHS
131,HG00864,CDX
132,HG01130,CLM
133,HG00249,GBR
134,HG00251,GBR
135,HG01142,CLM
136,HG00256,GBR
137,HG01161,PUR
138,HG00263,GBR
139,HG01173,PUR
140,HG00268,FIN
141,HG00270,FIN
142,HG01046,CDX
143,HG00275,FIN
144,HG00282,FIN
145,HG01058,PUR
146,HG00302,FIN
147,HG01060,PUR
148,HG01072,PUR
150,HG00629,CHS
151,HG01488,CLM
152,HG00631,CHS
153,HG01495,CLM
154,HG00650,CHS
155,HG01503,IBS
156,HG00662,CHS
157,HG01565,PEL
158,HG00674,CHS
159,HG01572,PEL
160,HG00693,CHS
161,HG01577,PEL
162,HG00698,CHS
163,HG01589,PJL
164,HG00701,CHS
165,HG01596,KHV
166,HG01351,CLM
167,HG01052,PUR
168,HG01356,CLM
169,HG01064,PUR
170,HG01363,CLM
171,HG01069,PUR
172,HG01375,CLM
173,HG01191,PUR
174,HG01402,PUR
175,HG01204,PUR
176,HG01414,PUR
177,HG01242,PUR
178,HG01247,PUR
179,HG01438,CLM
180,HG01254,CLM
181,HG01440,CLM
182,HG01259,CLM
183,HG01281,CLM
184,HG01286,PUR
186,HG01325,PUR
187,HG01280,CLM
188,HG01344,CLM
189,HG01083,PUR
190,HG01088,PUR
191,HG01095,PUR
192,HG01623,IBS
193,HG01108,PUR
194,HG01110,PUR
196,HG01122,CLM
197,HG01350,CLM
198,HG01464,CLM
199,HG01471,CLM
200,HG01362,CLM
201,HG01628,IBS
202,HG01630,IBS
203,HG01374,CLM
204,HG01673,IBS
205,HG01678,IBS
206,HG01393,PUR
207,HG01680,IBS
208,HG01134,CLM
209,HG01510,IBS
210,HG01139,CLM
211,HG01515,IBS
212,HG01522,IBS
213,HG01527,IBS
214,HG01177,PUR
215,HG01894,ACB
216,HG01914,ACB
218,HG01921,PEL
219,HG01868,KHV
220,HG01494,CLM
221,HG01870,KHV
222,HG01882,ACB
223,HG01507,IBS
224,HG01926,PEL
225,HG01305,PUR
226,HG01933,PEL
227,HG01312,PUR
228,HG01938,PEL
229,HG01945,PEL
230,HG01348,CLM
231,HG01398,PUR
232,HG01413,PUR
233,HG01762,IBS
234,HG01432,CLM
235,HG01767,IBS
236,HG01437,CLM
237,HG01444,CLM
238,HG01779,IBS
239,HG01456,CLM
240,HG01781,IBS
241,HG01786,IBS
242,HG01468,CLM
243,HG01519,IBS
244,HG01971,PEL
245,HG01521,IBS
246,HG01685,IBS
247,HG01697,IBS
248,HG01700,IBS
249,HG01705,IBS
250,HG01571,PEL
251,HG01844,KHV
252,HG01583,PJL
253,HG01849,KHV
255,HG01851,KHV
256,HG01595,KHV
257,HG01863,KHV
258,HG01867,KHV
259,HG01798,CDX
260,HG01874,KHV
261,HG01801,CDX
262,HG01879,ACB
263,HG01806,CDX
264,HG01813,CDX
265,HG01886,ACB
266,HG02006,PEL
267,HG01709,IBS
268,HG02013,ACB
269,HG01747,IBS
270,HG02020,KHV
271,HG01761,IBS
272,HG01976,PEL
273,HG01766,IBS
275,HG01773,IBS
276,HG01988,ACB
277,HG01603,IBS
278,HG01990,ACB
279,HG01608,IBS
281,HG01610,IBS
282,HG02025,KHV
283,HG01615,IBS
284,HG02032,KHV
285,HG02049,KHV
286,HG02051,ACB
287,HG02082,KHV
288,HG02087,KHV
289,HG01785,IBS
290,HG02102,PEL
291,HG01797,CDX
292,HG02107,ACB
293,HG01684,IBS
294,HG02152,CDX
295,HG01704,IBS
296,HG02164,CDX
297,HG01843,KHV
298,HG02169,CDX
299,HG01848,KHV
300,HG02121,KHV
301,HG01850,KHV
302,HG01855,KHV
303,HG02133,KHV
304,HG01862,KHV
305,HG02138,KHV
306,HG01672,IBS
307,HG02140,KHV
308,HG01800,CDX
309,HG01805,CDX
310,HG02239,IBS
311,HG01812,CDX
312,HG02253,PEL
313,HG01817,CDX
314,HG02079,KHV
315,HG02081,KHV
316,HG02070,KHV
317,HG02086,KHV
318,HG02075,KHV
319,HG02176,CDX
320,HG02188,CDX
321,HG01951,PEL
322,HG02190,CDX
323,HG01956,ACB
324,HG02215,GBR
325,HG01968,PEL
326,HG01970,PEL
327,HG02568,GWD
329,HG02570,GWD
330,HG02029,KHV
331,HG02031,KHV
332,HG02582,GWD
333,HG02048,KHV
334,HG02050,KHV
335,HG02594,GWD
336,HG02067,KHV
337,HG02429,ACB
338,HG02436,ACB
339,HG01932,PEL
340,HG02450,ACB
341,HG02455,ACB
342,HG01944,PEL
343,HG02462,GWD
344,HG01982,PEL
345,HG02260,PEL
346,HG02265,PEL
347,HG02113,KHV
348,HG02272,PEL
349,HG02277,PEL
350,HG02479,ACB
351,HG02137,KHV
352,HG02481,ACB
353,HG01893,PEL
354,HG02493,PJL
355,HG01918,PEL
356,HG02501,ACB
357,HG01920,PEL
358,HG02513,KHV
359,HG02012,ACB
361,HG02017,KHV
362,HG02537,ACB
363,HG02549,ACB
364,HG02442,ACB
365,HG02284,ACB
366,HG02461,GWD
367,HG02291,PEL
368,HG02304,PEL
369,HG02170,CDX
370,HG02309,ACB
371,HG02182,CDX
372,HG02187,CDX
373,HG02323,ACB
374,HG02219,IBS
375,HG02330,ACB
376,HG02221,IBS
378,HG02283,ACB
379,HG02373,CDX
381,HG02380,CDX
382,HG02385,CDX
383,HG02308,ACB
384,HG02392,CDX
385,HG02353,CDX
386,HG02397,CDX
387,HG02358,CDX
388,HG02405,CDX
389,HG02360,CDX
390,HG02789,PJL
393,HG02804,GWD
394,HG02384,CDX
395,HG02144,ACB
396,HG02811,GWD
397,HG02151,CDX
398,HG02816,GWD
399,HG02156,CDX
400,HG02854,GWD
401,HG02168,CDX
402,HG02861,GWD
403,HG02233,IBS
404,HG02878,GWD
405,HG02238,IBS
406,HG02885,GWD
407,HG02252,PEL
408,HG02271,PEL
409,HG02974,ESN
410,HG02315,ACB
411,HG02979,ESN
412,HG02322,ACB
413,HG02981,ESN
414,HG02334,ACB
415,HG03009,BEB
416,HG02339,ACB
417,HG03016,PJL
418,HG02389,CDX
419,HG02391,CDX
420,HG02734,PJL
421,HG02396,CDX
422,HG02409,CDX
423,HG02760,GWD
424,HG02733,PJL
425,HG02772,GWD
426,HG02784,PJL
427,HG02757,GWD
428,HG02690,PJL
429,HG02703,GWD
430,HG02769,GWD
431,HG02715,GWD
432,HG02771,GWD
433,HG02722,GWD
434,HG02727,PJL
435,HG02783,PJL
436,HG03028,GWD
437,HG02562,GWD
439,HG02574,GWD
440,HG03054,MSL
441,HG02586,GWD
442,HG02601,PJL
443,HG03061,MSL
444,HG02657,PJL
445,HG02790,PJL
446,HG02676,GWD
447,HG02808,GWD
448,HG02810,GWD
449,HG02688,PJL
450,HG02614,GWD
451,HG02839,GWD
452,HG02621,GWD
453,HG02645,GWD
454,HG02652,PJL
455,HG02860,GWD
456,HG02943,ESN
457,HG02884,GWD
458,HG03066,MSL
459,HG02891,GWD
460,HG03073,MSL
461,HG02896,GWD
462,HG03078,MSL
463,HG02923,ESN
465,HG03085,MSL
466,HG03097,MSL
467,HG02485,ACB
469,HG02497,ACB
470,HG03268,ESN
471,HG02505,ACB
472,HG03270,ESN
473,HG03294,ESN
474,HG03100,ESN
475,HG02675,GWD
476,HG03105,ESN
477,HG02682,PJL
478,HG03112,ESN
479,HG02687,PJL
480,HG03117,ESN
481,HG02613,GWD
482,HG03352,ESN
483,HG02620,GWD
484,HG03369,ESN
485,HG03376,MSL
486,HG02649,PJL
488,HG02651,PJL
489,HG03388,MSL
490,HG02694,PJL
491,HG02699,PJL
493,HG02702,GWD
494,HG03410,MSL
495,HG02721,GWD
496,HG03198,ESN
497,HG03225,MSL
498,HG02512,KHV
499,HG03237,PJL
501,HG03124,ESN
502,HG02536,ACB
503,HG03129,ESN
504,HG02555,ACB
505,HG03027,GWD
506,HG03136,ESN
508,HG03039,GWD
510,HG03046,GWD
511,HG03162,ESN
512,HG03058,MSL
513,HG03060,MSL
514,HG03193,ESN
515,HG03072,MSL
516,HG03077,MSL
517,HG03624,PJL
518,HG03084,MSL
519,HG03629,PJL
520,HG03091,MSL
521,HG03631,PJL
522,HG03096,MSL
523,HG03636,PJL
524,HG03698,STU
526,HG03267,ESN
527,HG03706,PJL
528,HG03279,ESN
529,HG03713,ITU
530,HG03491,PJL
531,HG03511,ESN
532,HG03212,MSL
533,HG03224,MSL
534,HG03460,MSL
535,HG03229,PJL
536,HG03472,MSL
537,HG02973,ESN
538,HG03484,MSL
539,HG03439,MSL
540,HG03446,MSL
541,HG03015,PJL
542,HG03022,PJL
543,HG03458,MSL
544,HG03123,ESN
545,HG03643,STU
547,HG03130,ESN
548,HG03667,PJL
549,HG03135,ESN
550,HG03578,MSL
551,HG03159,ESN
552,HG03585,BEB
553,HG03600,BEB
554,HG03109,ESN
555,HG03679,STU
556,HG03111,ESN
557,HG03681,STU
558,HG03686,STU
559,HG03693,STU
560,HG02947,ESN
561,HG03547,MSL
562,HG03559,MSL
564,HG03718,ITU
565,HG03166,ESN
566,HG03720,ITU
568,HG03539,GWD
569,HG03744,STU
570,HG03558,MSL
571,HG03821,BEB
572,HG03565,MSL
573,HG03826,BEB
574,HG03572,MSL
575,HG03833,BEB
576,HG03577,MSL
577,HG03838,STU
578,HG03589,BEB
580,HG03934,BEB
581,HG03604,BEB
582,HG03488,PJL
583,HG03941,BEB
584,HG03490,PJL
585,HG03953,STU
587,HG03960,ITU
588,HG03515,ESN
589,HG03908,BEB
590,HG03433,MSL
591,HG03910,BEB
592,HG03445,MSL
593,HG03922,BEB
594,HG03452,MSL
595,HG03457,MSL
597,HG03802,BEB
598,HG03351,ESN
599,HG03363,ESN
600,HG03814,BEB
601,HG03775,ITU
602,HG03370,ESN
